unit;category;name;keyword;;
cardiology;Access Device: Dilatation;THREADER;;;
cardiology;Accessories;WATCHDOG;;;
cardiology;Atherectomy Systems;ROTAPRO;;;
cardiology;Balloons: Cutting;WOLVERINE;;;
cardiology;CTO Systems;CROSSBOSS;;;
cardiology;CTO Systems;STINGRAY;;;
cardiology;Catheters: Balloon;APEX;;;
cardiology;Catheters: Balloon;EMERGE;;;
cardiology;Catheters: Balloon;NC;;;
cardiology;Catheters: Balloon;NC EMERGE;;;
cardiology;Catheters: Balloon;NC QUANTUM;;;
cardiology;Catheters: Diagnostic;EXPO;;;
cardiology;Catheters: Diagnostic;IMPULSE;;;
cardiology;Catheters: Guide;CONVEY;;;
cardiology;Catheters: Guide;MACH;;;
cardiology;Catheters: Guide;RUNWAY;;;
cardiology;Catheters: Guide;GUIDEZILLA;;;
cardiology;Embolic Protection;SENTINEL;;;
cardiology;Exchange Device;TRAPPER;;;
cardiology;FFR & IVUS Systems;COMET;;;
cardiology;FFR & IVUS Systems;OPTICROSS;;;
urology;Stents: Ureteral;POLARIS;;;
cardiology;FFR & IVUS Systems;POLARIS;Guidance;;
cardiology;FFR & IVUS Systems;AVVIGO;;;
cardiology;Guidewires;CHOICE;;;
cardiology;Guidewires;FORTÉ;;;
cardiology;Guidewires;LUGE;;;
cardiology;Guidewires;MAILMAN;;;
cardiology;Guidewires;PLATINUM;;;
cardiology;Guidewires;PLATINUM Plus;;;
cardiology;Guidewires;PT;;;
cardiology;Guidewires;PT²;;;
cardiology;Guidewires;SAFARI;;;
cardiology;Guidewires;SENTAI;;;
cardiology;Left Atrial Appendage Closure;WATCHMAN;;;
cardiology;Microcatheters;MAMBA;;;
cardiology;Stents: Coronary;Promus;;;
cardiology;Stents: Coronary;Promus PREMIER;;;
cardiology;Stents: Coronary;Promus ELITE;;;
cardiology;Stents: Coronary;REBEL;;;
cardiology;Stents: Coronary;SYNERGY;;;
cardiology;Stents: Coronary;SYNERGY XD;;;
cardiology;Stents: Coronary;SYNERGY MEGATRON;;;
cardiology;Thrombectomy Systems;ANGIOJET;;;
cardiology;Transcatheter Heart Valve;LOTUS Edge;;;
cardiology;Vein Ablation;Varithena;;;
urology;Access Device: Sheath;Amplatz;Sheath;;
urology;Access Device: Dilatation;Amplatz;Dilator;;
cardiology;Guidewires;Amplatz Super;;;
urology;Guidewires;Amplatz;Guidewire;;
urology;Access Device: Dilatation;NephroMax;;;
urology;Access Device: Dilatation;UroMax;;;
urology;Access Device: Sheath;Renal Sheath;;;
urology;Access Device: Sheath;Navigator;;;
urology;Accessories;Drainage;;;
urology;Accessories;Encore;;;
urology;Accessories;ESP;;;
urology;Accessories;Gateway;;;
urology;Accessories;SAPS;;;
urology;Accessories;UroLok;;;
urology;Antiretropulsion;Stone;;;
urology;Artificial Urinary Sphincter;AMS;;;
urology;Penile Prosthesis;AMS 700;;;
urology;Penile Prosthesis;AMS Ambicor;;;
urology;Catheters: Ureteral;Axxcess;;;
urology;Catheters: Ureteral;C-Flex;;;
urology;Catheters: Ureteral;Dual;;;
urology;Catheters: Ureteral;Flexima;;;
urology;Catheters: Ureteral;Imager;;;
cardiology;Catheters: Diagnostic;Imager;Angiographic;;
urology;Guidewires;Sensor;;;
urology;Guidewires;Zebra;;;
urology;Guidewires;ZIPwire;;;
urology;Hydrogel Spacers;SpaceOAR;;;
urology;Laser Fibers & Accessories;AccuMax;;;
urology;Laser Fibers & Accessories;AccuTrac;;;
urology;Laser Fibers & Accessories;Reusable;;;
urology;Laser Fibers & Accessories;Flexiva;;;
urology;Laser Fibers & Accessories;Holmium;;;
urology;Laser Fibers & Accessories;MoXy;;;
urology;Lasers, BPH & Lithotripsy;VersaCut;;;
urology;Lasers, BPH & Lithotripsy;GreenLight;;;
urology;Lasers, BPH & Lithotripsy;Lumenis;;;
urology;Lasers, BPH & Lithotripsy;VersaPulse;;;
urology;Lasers, BPH & Lithotripsy;Rezum;;;
urology;Lasers, BPH & Lithotripsy;Swiss;;;
urology;PCNL;Malecot;;;
urology;PCNL;NaviGuide;;;
urology;PCNL;Nephrostomy;;;
urology;PCNL;Occluder;;;
urology;PCNL;PCNL;;;
urology;PCNL;Percuflex;;;
urology;Stents: Ureteral;Percuflex;Stent;;
urology;PCNL;Pigtail;;;
urology;Penile Prosthesis;Spectra;;;
urology;Penile Prosthesis;Tactra;;;
urology;Retrieval Devices;Dakota;;;
urology;Retrieval Devices;Escape;;;
urology;Retrieval Devices;Gemini;;;
urology;Ureteroscopes;LithoVue;;;
urology;Retrieval Devices;LithoVue Empower;;;
urology;Retrieval Devices;OptiFlex;;;
urology;Retrieval Devices;Segura;;;
urology;Retrieval Devices;Zero Tip;;;
urology;Slings: Suburethral;AdVance;;;
urology;Stents: Ureteral;Contour;;;
urology;Stents: Ureteral;Retromax;;;
urology;Stents: Ureteral;Stretch;;;
urology;Stents: Ureteral;Tria;;;
cardiology;Atherectomy Systems;Jetstream;;;
cardiology;Atherectomy Systems;Rotablator;;;
cardiology;Cancer Therapies;TheraSphere;;;
cardiology;Catheters: Balloon;Charger;;;
cardiology;Catheters: Balloon;Coyote;;;
cardiology;Catheters: Balloon;Mustang;;;
cardiology;Catheters: Balloon;Peripheral;;;
cardiology;Catheters: Balloon;Ranger;;;
cardiology;Catheters: Balloon;Sterling;;;
cardiology;Catheters: Balloon;Athletis;;;
cardiology;Catheters: Guide;Rubicon;;;
cardiology;Cryoablation;ICEFX;;;
cardiology;Cryoablation;VISUAL ICE;;;
cardiology;EKOS™ Endovascular System;EkoSonic;;;
cardiology;Guidewires;Magic Torque;;;
cardiology;Guidewires;Meier;Guidewire;;
cardiology;Guidewires;Starter;;;
cardiology;Guidewires;Thruway;;;
cardiology;Guidewires;V-18;;;
cardiology;Guidewires;Victory;;;
cardiology;Guidewires;SAVION;;;
cardiology;Introducer Sheaths;Super Sheath;;;
cardiology;Stents: Gastrointestinal;WallFlex;;;
cardiology;Stents: Vascular;ELUVIA;;;
cardiology;Stents: Vascular;Epic;;;
cardiology;Stents: Vascular;Express;;;
cardiology;Stents: Vascular;Innova;;;
cardiology;Thrombectomy Systems;EKOS;;;
cardiology;Stents: Coronary;TAXUS;;;